Question,A,B,C,D,E,Answer
"The president of the United States appoints the cabinet members, _ appointments are subject to Senate approval.",their,with their,because their,but their,,D
The prisoners were prevented from speaking to reporters because _,not wanting the story in the papers,the story in the papers the superintendent did not want,the public to hear the story,the superintendent did not want the story in the papers,,D
"Like Thomas Berger’s fictional character Little Big Man, Lauderdale managed to find himself where _ of important events took place.",it was an extraordinary number,there was an extraordinary number,an extraordinary number,an extraordinary number existed,,C
"_ sucked groundwater from below, some parts of the city have begun to sink as much as ten inches annually.",Pumps have,As pumps have,So pumps have,With pumps,,B
"Case studies are the target of much skepticism in the scientific community, _ used extensively by numerous researchers.",they are,are,yet they,yet they are,,D
"According to the hypothesis in the study, the monarchs pick up the magnetic field of the _ migrate by following magnetic fields.",target monarchs,target since monarchs,target since monarchs are,target,,B
"_ show the relations among neurons, they do not preclude the possibility that other aspects are important",Neural theories,A neural theory,Although neural theories,However neural theories,,C
"_ or refinanced, the lender will generally require setting up an escrow account to ensure the payment of property taxes and homeowner's insurance",A home is,A home is bought,When a home,When a home is bought,,D
"If ultraviolet radiation enters the Earth's atmosphere, _ generally blocked by the ozone concentrated in the generally blocked by atmosphere",it,it is,so it is,then it,,B
"Among human chromosomes, the Y chromosome is unusual _ most of the chromosome does not participate in meiotic recombination",in,so,and,in that,,D
"The three basic chords in _ the tonic, the dominant, and the subdominant.",functional harmony,functional harmony is,functional harmony are,functional harmony they are,,C
"_ Hale Telescope, at the Palomar Observatory in southern,California, scientists can photograph objects several billion light years away.",The,With the,They use the,It is the,,B
"Without the proper card installed inside the computer, _  impossible to run a graphics program.",is definitely,because of,t is,is,,C
"The charter for the Louisiana lottery was coming up for renewal, _  spared no expense in the fight to win renewal.",the lottery commlittee,so the lottery commlittee and,so the lottery committee,the lottery commlittee made,,C
"While in reality Alpha Centauri is a triple star,_ to the naked eye to be a single star.",it appears,but it appears,appears,despite it,,A
The Sun's gravity severely distorted the path of the comet _ entered its wildly erratic orbit around Jupiter. ,it,when,after the comet came into it,once the comet,,D
Each object _ Jupiter's magnetic field is deluged with electrical charges.,enters,it enters,entering,enter,,C
"As its name suggests, the Prairie Wetlands Resource Center _ the protection of wetlands on the prairies of the Dakotas, Montana, Minnesota, and Nebraska",it focuses,focuses on,focusing,to focus on,,B
"One of the largest and most powerful birds of prey in the world,  _ a six foot wingspan and legs and talons roughly the size of a man's arms and legs",so the harpy has,the harpy having,with the harpy having,the harpy has,,D
"_ creation of such a community was a desirable step, the requisite political upheaval had to be accepted",Since the,The,Later,"Later, the",,A
Dolphins form extremely complicated allegiances and _ continually change,enmities that,that are enmities,enmities that are,that enmities,,A
Scientists are now beginning to conduct experiments on _ trigger different sorts of health risks.,noise pollution can,that noise pollution,how noise pollution,how noise pollution can,,D
"The Apollo 11 astronauts _ of the Earth's inhabitants witnessed on the famous first moonwalk on July 20, 1969, were Neil Armstrong and Buzz Aldrin.",whom,whom millions,were some,whom some were,,B
"At the end of the nineteenth century, Alfred Binet developed a test for measuring intelligence _  served as the basis of modern IQ tests.",has,it has,and,which has,,D
_ have at least four hours of hazardous materials response training is mandated by federal law,All police officers,All police officers must,That all police officers,For all police officers,,C
A cloud's reservoir of negative charge extends upward from the altitude at _ the freezing point,temperatures hit,hit temperatures,which temperatures hit,which hit temperatures,,C
"In a 1988 advanced officers' training program, Sampson developed a plan to incorporate police in enforcing environmental protection laws whenever _ feasible",it is,is,has,it has,,A
_ wil be carried in the next space shuttle payload has not yet been announced to the public.,It,What,When,That,,B
"During free fall, _ up to a full minute, a skydiver will fall at a constant speed of 120 m.p.h",it is,which is,being,is,,B
The fact _ the most important ratings period is about to begin has caused all the networks to shore up their schedules,is that,of,that,what,,C
_ loom high above the northern and northeastern boundaries of the expanding city of Tucson.,The Santa Catalina mountains,Because the Santa Catalina mountains,The Santa Catalina mountains are,That the Santa Catalina mountains,,A
Radioactive _ provides a powerful way to measure geologic time,it,dates,dating,can,,C
"_ contained in the chromosomes, and they are thought of as the units of heredity.",Genes which are,Genes are,When genes,Because of genes,,B
The benefit _ the study is that it provides necessary information to anyone who needs it,of,which,that,because,,A
The same symptoms that occur _ occur with cocaine,amphetamines can,with amphetamines can,so amphetamines,with amphetamines they,,B
Many companies across the country have molded the concepts _ describes in to an integrated strategy for preventing stress.,and Wolf,that Wolf,what Wolf,so Wolf,,B
_ in the first draft of the budget will not necessarily be in the final draft.,Although it appears,It apperars,What appears,Despite its appearance,,C
"If a food label indicates that a food is mostly carbohydrate, it does not mean _ is a good food to eat",and it,and,that it,when,,C
A need for space law to include commercial concerns has been recognized inasmuch _ been expanding drastically in recent years.,the commercial lauch industry,the commercial lauch industry has ,as has the commercial lauch industry,as the commercial launch industry,,D
